question_number,subject,topic,type,question_text,option_a,option_b,option_c,option_d,correct_option,correct_answer,answer_tolerance,difficulty,exam_year,marks,tags,theory_title,theory_text,needs_review,review_reason
227,Data Science and Artificial Intelligence,Calculus,nat,lim (t -> +infinity) [ sqrt(t^2 + t) - t ] = _____ (Round off to one decimal place),,,,,,0.5,0.0,Medium,2025,1,PYQ;GATE 2025;GATE DA,,,,
228,Data Science and Artificial Intelligence,Databases,nat,"On a relation named Loan of a bank with tuples (loan_number, branch_name, amount): (L11, Banjara Hills, 90000), (L14, Kondapur, 50000), (L15, SR Nagar, 40000), (L22, SR Nagar, 25000), (L23, Balanagar, 80000), (L25, Kondapur, 70000), (L19, SR Nagar, 65000). The following SQL query is executed: SELECT L1.loan_number FROM Loan L1 WHERE L1.amount > (SELECT MAX(L2.amount) FROM Loan L2 WHERE L2.branch_name = 'SR Nagar'); The number of rows returned by the query is _____ (Answer in integer)",,,,,,3,0.0,Medium,2025,1,PYQ;GATE 2025;GATE DA,,,,
229,Data Science and Artificial Intelligence,Machine Learning,nat,"Given data {(-1,1), (2,-5), (3,5)} of the form (x,y), we fit a model y = wx using linear least-squares regression. The optimal value of w is _____ (Round off to three decimal places)",,,,,,0.286,0.001,Medium,2025,1,PYQ;GATE 2025;GATE DA,,,,
230,Data Science and Artificial Intelligence,Machine Learning,nat,"The naive Bayes classifier is used to solve a two-class classification problem with class-labels y1, y2. Suppose the prior probabilities are P(y1) = 1/3 and P(y2) = 2/3. Assuming a discrete feature space with P(x|y1) = 3/4 and P(x|y2) = 1/4 for a specific feature vector x. The probability of misclassifying x is _____ (Round off to two decimal places)",,,,,,0.40,0.0,Medium,2025,1,PYQ;GATE 2025;GATE DA,,,,
231,Data Science and Artificial Intelligence,Probability and Statistics,mcq,"Let Y = Z^2, Z = (X - mu)/sigma, where X is a normal random variable with mean mu and variance sigma^2. The variance of Y is",1,2,3,4,B,,,Medium,2025,2,PYQ;GATE 2025;GATE DA,,,,
232,Data Science and Artificial Intelligence,Linear Algebra,mcq,Let A in R^(nxn) be such that A^3 = A. Which one of the following statements is ALWAYS correct?,A is invertible,Determinant of A is 0,The sum of the diagonal elements of A is 1,A and A^2 have the same rank,D,,,Hard,2025,2,PYQ;GATE 2025;GATE DA,,,,
233,Data Science and Artificial Intelligence,Linear Algebra,mcq,"Let {x1, x2, ..., xn} be a set of linearly independent vectors in R^n. Let the (i,j)-th element of matrix A in R^(nxn) be given by A_ij = xi^T xj, 1 <= i,j <= n. Which one of the following statements is correct?",A is invertible,0 is a singular value of A,Determinant of A is 0,z^T A z = 0 for some non-zero z in R^n,A,,,Hard,2025,2,PYQ;GATE 2025;GATE DA,,,,
234,Data Science and Artificial Intelligence,Probability and Statistics,mcq,Consider the cumulative distribution function (CDF) of a random variable X: F_X(x) = 0 for x <= -1; (1/4)(x+1)^2 for -1 <= x <= 1; 1 for x >= 1. The value of P(X^2 <= 0.25) is,0.625,0.25,0.5,0.5625,C,,,Medium,2025,2,PYQ;GATE 2025;GATE DA,,,,
235,Data Science and Artificial Intelligence,Probability and Statistics,mcq,"A random variable X is said to be distributed as Bernoulli(theta), denoted X ~ Bernoulli(theta), if P(X=1) = theta, P(X=0) = 1 - theta for 0 < theta < 1. Let Y = sum_{i=1}^{300} Xi, where Xi ~ Bernoulli(theta), i=1,...,300 are i.i.d. random variables with theta = 0.25. The value of P(60 <= Y <= 90), after approximation through Central Limit Theorem, is given by (Recall that phi(x) = (1/sqrt(2*pi)) integral from -infinity to x of e^(-t^2/2) dt)",phi(2) - phi(-2),phi(1) - phi(-1),phi(3) - phi(-3),phi(90) - phi(60),A,,,Medium,2025,2,PYQ;GATE 2025;GATE DA,,,,
236,Data Science and Artificial Intelligence,Probability and Statistics,mcq,"For x in R, the floor function is denoted by f(x) = floor(x) and defined as floor(x) = k, k <= x < k+1, where k is an integer. Let Y = floor(X), where X is an exponentially distributed random variable with mean 1/ln(10), where ln denotes natural logarithm. For any positive integer l, one can write the probability of the event Y = l as P(Y=l) = q^l (1-q). The value of q is",0.1,0.01,0.5,0.434,A,,,Hard,2025,2,PYQ;GATE 2025;GATE DA,,,,
237,Data Science and Artificial Intelligence,Machine Learning,mcq,"Consider a neural network with inputs u, v; weights a, b, c, d, e, f; output y. The hidden layer has two ReLU units: the first hidden unit receives a*u + b*v (via cross weights: edge from u with weight a into first hidden node, and edge from v with weight b into first hidden node), and the second hidden unit receives c*u + d*v; both pass through ReLU R(x) = max(0,x). The output is R(e*h1 + f*h2), where h1, h2 are the two ReLU hidden outputs. (Per the figure: edges a: u->R1, b: u->R2 crossing, c: v->R1 crossing, d: v->R2, e: R1->output, f: R2->output.) Given u=2, v=3, a=1, b=1, c=1, d=-1, e=4, f=-1, which one of the following is correct regarding partial derivatives of y with respect to a and f?","dy/da = 8, dy/df = 0","dy/da = 1, dy/df = 0","dy/da = 1, dy/df = -1","dy/da = 2, dy/df = -1",A,,,Hard,2025,2,PYQ;GATE 2025;GATE DA,,,yes,figure_dependent_network_topology_approximated
238,Data Science and Artificial Intelligence,Artificial Intelligence,mcq,"Consider game trees Tree-1 and Tree-2. The first level is a MAX agent and the second level is a MIN agent. The value in the square node is the output of the utility function. Tree-1: root A (MAX) has children: a leaf valued 2, and a MIN node B with children x (leaf) and 1 (leaf, evaluated after x, drawn as a dotted unexplored edge). Tree-2: root C (MAX) has children: MIN node D with children 5 and y, and MIN node E with children 2 and an unexplored third child (triangle). For what ranges of x and y will the right child of node B and the right child of node E be pruned by the alpha-beta pruning algorithm?","x in [1, infinity) and y in (-infinity, 2]","x in (-infinity, 2] and y in (-infinity, 5]","x in (-infinity, 2] and y in [2, infinity)","x in [1, infinity) and y in (-infinity, 5]",C,,,Hard,2025,2,PYQ;GATE 2025;GATE DA,,,yes,figure_dependent_game_tree_approximated
239,Data Science and Artificial Intelligence,Artificial Intelligence,mcq,"The state graph shows the action cost along the edges and the heuristic function h associated with each state: S->A cost 4 (h(A)=2), S->E cost 1 (h(E)=6), A->B cost 2 (h(B)=2), B->C cost 2 (h(C)=6), E->C cost 2, C->D cost 3 (h(D)=2), D->G cost 3 (h(G)=0). Suppose the A* algorithm is applied on this state graph using a priority queue to store the frontier. In what sequence are the nodes expanded?","S,A,E,C,B,D,G","S,E,A,C,B,D,G","S,A,E,B,C,D,G","S,A,B,E,C,D,G",C,,,Hard,2025,2,PYQ;GATE 2025;GATE DA,,,,
240,Data Science and Artificial Intelligence,Probability and Statistics,mcq,"A random experiment consists of throwing 100 fair dice, each die having six faces numbered 1 to 6. An event A represents the set of all outcomes where at least one of the dice shows a 1. Then, P(A) =",0,1,1 - (5/6)^100,(5/6)^100,C,,,Easy,2025,2,PYQ;GATE 2025;GATE DA,,,,
241,Data Science and Artificial Intelligence,Databases,mcq,"Consider a fact table in an OLAP application: Facts(D1, D2, val), where D1 and D2 are its dimension attributes and val is a dependent attribute. Suppose attribute D1 takes 3 values and D2 takes 2 values, and all combinations of these values are present in the table Facts. How many tuples are there in the result of the following query? SELECT D1, D2, sum(val) FROM Facts GROUP BY CUBE (D1, D2);",1,6,9,12,D,,,Medium,2025,2,PYQ;GATE 2025;GATE DA,,,,
242,Data Science and Artificial Intelligence,Programming and Data Structures,mcq,"Consider the following Python code snippet: A={""this"",""that""}; B={""that"",""other""}; C={""other"",""this""}; while ""other"" in C: if ""this"" in A: A,B,C = A-B, B-C, C-A; if ""that"" in B: A,B,C = C|A, A|B, B|C. When the above program is executed, at the end, which of the following sets contains ""this""?",Only A,Only B,Only C,"A, C",B,,,Hard,2025,2,PYQ;GATE 2025;GATE DA,,,,
243,Data Science and Artificial Intelligence,Machine Learning,msq,"Which of the following statements is/are correct about the rectified linear unit (ReLU) activation function defined as ReLU(x) = max(x,0), where x in R?",ReLU is continuous everywhere,ReLU is differentiable everywhere,ReLU is not differentiable at x=0,"ReLU(x) = ReLU(ax), for all a in R","A,C",,,Medium,2025,2,PYQ;GATE 2025;GATE DA,,,,
244,Data Science and Artificial Intelligence,Calculus,msq,"Consider the function f(x) = x^3/3 + (7/2)x^2 + 10x + 133/2, x in [-8, 0]. Which of the following statements is/are correct?",The maximum value of f is attained at x = -5,The minimum value of f is attained at x = -2,The maximum value of f is 133/2,The minimum value of the derivative of f is attained at x = -7/2,"C,D",,,Hard,2025,2,PYQ;GATE 2025;GATE DA,,,,
245,Data Science and Artificial Intelligence,Linear Algebra,msq,"Let x1, x2, x3, x4, x5 be a system of orthonormal vectors in R^10. Consider the matrix A = x1 x1^T + ... + x5 x5^T. Which of the following statements is/are correct?",Singular values of A are also its eigenvalues,Singular values of A are either 0 or 1,Determinant of A is 1,A is invertible,"A,B",,,Hard,2025,2,PYQ;GATE 2025;GATE DA,,,,
246,Data Science and Artificial Intelligence,Calculus,msq,Let f: R -> R be a twice-differentiable function and suppose its second derivative satisfies f''(x) > 0 for all x in R. Which of the following statements is/are ALWAYS correct?,f has a local minima,"There does not exist x and y, x != y, such that f'(x) = f'(y) = 0",f has at most one global minimum,f has at most one local minimum,"B,C,D",,,Hard,2025,2,PYQ;GATE 2025;GATE DA,,,,
247,Data Science and Artificial Intelligence,Linear Algebra,msq,"An n x n matrix A with real entries satisfies the property: ||Ax||^2 = ||x||^2, for all x in R^n, where ||.|| denotes the Euclidean norm. Which of the following statements is/are ALWAYS correct?",A must be orthogonal,"A = I, where I denotes the identity matrix, is the only solution",The eigenvalues of A are either +1 or -1,A has full rank,"A,D",,,Hard,2025,2,PYQ;GATE 2025;GATE DA,,,,
248,Data Science and Artificial Intelligence,Machine Learning,msq,"Consider designing a linear binary classifier f(x) = sign(w^T x + b), x in R^2 on the following training data: Class-1: {(2,0), (0,2), (2,2)}, Class-2: {(0,0)}. Hard-margin support vector machine (SVM) formulation is solved to obtain w and b. Which of the following options is/are correct?","w = (4,4) and b = 1",The number of support vectors is 3,The margin is sqrt(2),Training accuracy is 98%,"B,C",,,Hard,2025,2,PYQ;GATE 2025;GATE DA,,,,
249,Data Science and Artificial Intelligence,Probability and Statistics,msq,"Consider a coin-toss experiment where the probability of head showing up is p. In the i-th coin toss, let Xi = 1 if head appears, and Xi = 0 if tail appears. Consider p_hat = (1/n) * sum_{i=1}^{n} Xi, where n is the total number of independent coin tosses. Which of the following statements is/are correct?",E[p_hat] = p,E[p_hat] = p/n,"As n increases, variance of p_hat decreases",Variance of p_hat does not depend on n,"A,C",,,Medium,2025,2,PYQ;GATE 2025;GATE DA,,,,
250,Data Science and Artificial Intelligence,Machine Learning,msq,"Consider a two-class problem in R^d with class labels red and green. Let mu_red and mu_green be the means of the two classes. Given test sample x in R^d, a classifier calculates the squared Euclidean distance between x and the means of the two classes and assigns the class label that the sample x is closest to. That is, the classifier computes f(x) = ||mu_red - x||^2 - ||mu_green - x||^2 and assigns the label red to x if f(x) < 0, and green otherwise. Which of the following statements is/are correct?",The sample x=0 is assigned the label green if ||mu_red|| < ||mu_green||,f is a linear function of x,"f(x) = w^T x + b, where w and b are functions of mu_red and mu_green",f is a quadratic polynomial in x,"B,C",,,Hard,2025,2,PYQ;GATE 2025;GATE DA,,,,
251,Data Science and Artificial Intelligence,Databases,msq,"Consider the following two relations, named Customer and Person, in a database: Person(aadhaar CHAR(12) PRIMARY KEY, name VARCHAR(32)); Customer(name VARCHAR(32), email VARCHAR(32) PRIMARY KEY, phone CHAR(10), aadhaar CHAR(12), FOREIGN KEY (aadhaar) REFERENCES Person(aadhaar)). Which of the following statements is/are correct?",aadhaar is a candidate key in the Customer relation,phone can be NULL in the Customer relation,aadhaar is a candidate key in the Person relation,aadhaar can be NULL in the Person relation,"B,C",,,Medium,2025,2,PYQ;GATE 2025;GATE DA,,,,
252,Data Science and Artificial Intelligence,Databases,msq,"Consider a database relation R with attributes ABCDEFG, and having the following functional dependencies: A -> BCEF, E -> DG, BC -> A. Which of the following statements is/are correct?",A is the only candidate key of R,"A, BC are the candidate keys of R","A, BC, E are the candidate keys of R",Relation R is not in Boyce-Codd Normal Form (BCNF),"B,D",,,Hard,2025,2,PYQ;GATE 2025;GATE DA,,,,
253,Data Science and Artificial Intelligence,Algorithms,msq,"Let G be a simple, unweighted, and undirected graph. A subset of the vertices and edges of G are shown below, forming two rows: top row a-b-c-d (with edges a-b, b-c, c-d), bottom row e-f-g-h (with edges e-f, f-g, g-h), and cross edges a-f and c-f and c-h. It is given that a-b-c-d is a shortest path between a and d; e-f-g-h is a shortest path between e and h; a-f-c-h is a shortest path between a and h. Which of the following is/are NOT the edges of G?","(b,d)","(b,g)","(b,h)","(e,g)","A,C,D",,,Hard,2025,2,PYQ;GATE 2025;GATE DA,,,yes,figure_dependent_graph_approximated
254,Data Science and Artificial Intelligence,Calculus,nat,"Let f: R -> R be such that |f(x) - f(y)| <= (x-y)^2 for all x,y in R. Then f(1) - f(0) = _____ (Answer in integer)",,,,,,0,0.0,Hard,2025,2,PYQ;GATE 2025;GATE DA,,,,
255,Data Science and Artificial Intelligence,Machine Learning,nat,"Let D = {x(1),...,x(n)} be a dataset of n observations where each x(i) in R^100. It is given that sum_{i=1}^{n} x(i) = 0. The covariance matrix computed from D has eigenvalues lambda_i = 100^(2-i), 1 <= i <= 100. Let u in R^100 be the direction of maximum variance with u^T u = 1. The value of (1/n) * sum_{i=1}^{n} (u^T x(i))^2 = _____ (Answer in integer)",,,,,,100,0.0,Hard,2025,2,PYQ;GATE 2025;GATE DA,,,,
256,Data Science and Artificial Intelligence,Probability and Statistics,nat,"A bag contains 5 white balls and 10 black balls. In a random experiment, n balls are drawn from the bag one at a time with replacement. Let Sn denote the total number of black balls drawn in the experiment. The expectation of S100 denoted by E[S100] = _____ (Round off to one decimal place)",,,,,,66.7,0.1,Medium,2025,2,PYQ;GATE 2025;GATE DA,,,,
257,Data Science and Artificial Intelligence,Databases,nat,"Consider the following tables, Loan(loan_num, branch_name, amount) and Borrower(customer_name, loan_num), of a bank. Loan: (L11,Banjara Hills,90000), (L14,Kondapur,50000), (L15,SR Nagar,40000), (L22,SR Nagar,25000), (L23,Balanagar,80000), (L25,Kondapur,70000), (L19,SR Nagar,65000). Borrower: (Anand,L11), (Karteek,L11), (Karteek,L14), (Ankita,L15), (Gopal,L19), (Karteek,L22), (Karteek,L23), (Sunil,L23), (Sunil,L25). Query: pi_{branch_name, customer_name}(Loan JOIN Borrower) divide-by pi_{branch_name}(Loan), where JOIN denotes natural join and divide-by denotes relational division. The number of tuples returned by the above relational algebra query is _____ (Answer in integer)",,,,,,1,0.0,Hard,2025,2,PYQ;GATE 2025;GATE DA,,,,
258,Data Science and Artificial Intelligence,Programming and Data Structures,nat,"Consider the following Python code snippet: def f(a,b): if (a==0): return b; if (a%2==1): return 2*f((a-1)/2, b); return b + f(a-1, b). print(f(15,10)). The value printed by the code snippet is _____ (Answer in integer)",,,,,,160,0.0,Hard,2025,2,PYQ;GATE 2025;GATE DA,,,,
259,Data Science and Artificial Intelligence,Programming and Data Structures,nat,"Consider the following pseudocode: Create empty stack S; Set x=0, flag=0, sum=0; Push x onto S; while (S is not empty) { if (flag equals 0) { Set x = x+1; Push x onto S } if (x equals 8): Set flag=1 if (flag equals 1) { x = Pop(S); if (x is odd): Pop(S); Set sum = sum + x } } Output sum. The value of sum output by a program executing the above pseudocode is _____ (Answer in integer)",,,,,,24,0.0,Hard,2025,2,PYQ;GATE 2025;GATE DA,,,,
260,Data Science and Artificial Intelligence,Algorithms,nat,"Consider a directed graph G = (V,E), where V = {0,1,2,...,100} and E = {(i,j) : 0 < j - i <= 2, for all i,j in V}. Suppose the adjacency list of each vertex is in decreasing order of vertex number, and depth-first search (DFS) is performed at vertex 0. The number of vertices that will be discovered after vertex 50 is _____ (Answer in integer)",,,,,,75,0.0,Hard,2025,2,PYQ;GATE 2025;GATE DA,,,,
261,General Aptitude,General Aptitude,mcq,"If '->' denotes increasing order of intensity, then the meaning of the words [dry -> arid -> parched] is analogous to [diet -> fast -> ________]. Which one of the given options is appropriate to fill the blank?",starve,reject,feast,deny,A,,,Easy,2024,1,PYQ;GATE 2024;GATE CS1,,,,
262,General Aptitude,General Aptitude,mcq,If two distinct non-zero real variables x and y are such that (x+y) is proportional to (x-y) then the value of x/y,depends on xy,depends only on x and not on y,depends only on y and not on x,is a constant,D,,,Medium,2024,1,PYQ;GATE 2024;GATE CS1,,,,
263,General Aptitude,General Aptitude,mcq,"Consider the following sample of numbers: 9, 18, 11, 14, 15, 17, 10, 69, 11, 13. The median of the sample is",13.5,14,11,18.7,A,,,Easy,2024,1,PYQ;GATE 2024;GATE CS1,,,,
264,General Aptitude,General Aptitude,mcq,"The number of coins of Rs 1, Rs 5, and Rs 10 denominations that a person has are in the ratio 5:3:13. Of the total amount, the percentage of money in Rs 5 coins is",21%,14 2/7 %,10%,30%,C,,,Medium,2024,1,PYQ;GATE 2024;GATE CS1,,,,
265,General Aptitude,General Aptitude,mcq,"For positive non-zero real variables p and q, if log(p^2 + q^2) = log p + log q + 2 log 3, then the value of (p^4 + q^4) / (p^2 q^2) is",79,81,9,83,A,,,Medium,2024,1,PYQ;GATE 2024;GATE CS1,,,,
266,General Aptitude,General Aptitude,mcq,"In the given text, the blanks are numbered (i)-(iv). Select the best match for all the blanks. Steve was advised to keep his head (i) before heading (ii) to bat; for, while he had a head (iii) batting, he could only do so with a cool head (iv) his shoulders.",(i) down (ii) down (iii) on (iv) for,(i) on (ii) down (iii) for (iv) on,(i) down (ii) out (iii) for (iv) on,(i) on (ii) out (iii) on (iv) for,C,,,Medium,2024,2,PYQ;GATE 2024;GATE CS1,,,,
267,General Aptitude,General Aptitude,mcq,"A rectangular paper sheet of dimensions 54 cm x 4 cm is taken. The two longer edges of the sheet are joined together to create a cylindrical tube. A cube whose surface area is equal to the area of the sheet is also taken. Then, the ratio of the volume of the cylindrical tube to the volume of the cube is",1/pi,2/pi,3/pi,4/pi,A,,,Hard,2024,2,PYQ;GATE 2024;GATE CS1,,,,
268,General Aptitude,General Aptitude,mcq,"A pie chart presents the percentage contribution of different macronutrients to a typical 2,000 kcal diet of a person: Carbohydrates 35%, Proteins 20%, Unsaturated fat 20%, Saturated fat 20%, Trans fat 5%. The typical energy density (kcal/g) is: Carbohydrates 4, Proteins 4, Unsaturated fat 9, Saturated fat 9, Trans fat 9. The total fat (all three types), in grams, this person consumes is",44.4,77.8,100,"3,600",C,,,Medium,2024,2,PYQ;GATE 2024;GATE CS1,,,,
269,General Aptitude,General Aptitude,mcq,"A rectangular paper of 20 cm x 8 cm is folded 3 times. Each fold is made along the line of symmetry, which is perpendicular to its long edge. The perimeter of the final folded sheet (in cm) is",18,24,20,21,A,,,Medium,2024,2,PYQ;GATE 2024;GATE CS1,,,,
270,General Aptitude,General Aptitude,mcq,"A figure shows a horizontal line AB with a plus-sign-like arrangement of unit squares straddling it (one square centered above the line, a square below-left and below-right of it, forming an irregular cluster near the middle of AB). The least number of squares to be added in the figure to make AB a line of symmetry is",6,4,5,7,A,,,Hard,2024,2,PYQ;GATE 2024;GATE CS1,,,yes,figure_dependent_question_text_approximated
271,Computer Science,Calculus,mcq,"Let f: R -> R be a function such that f(x) = max{x, x^3}, x in R, where R is the set of all real numbers. The set of all points where f(x) is NOT differentiable is","{-1, 1, 2}","{-2, -1, 1}","{0, 1}","{-1, 0, 1}",D,,,Medium,2024,1,PYQ;GATE 2024;GATE CS1,,,,
272,Computer Science,Engineering Mathematics,mcq,"The product of all eigenvalues of the matrix [[1,2,3],[4,5,6],[7,8,9]] is",-1,0,1,2,B,,,Medium,2024,1,PYQ;GATE 2024;GATE CS1,,,,
273,Computer Science,Computer Organization and Architecture,mcq,"Consider a system that uses 5 bits for representing signed integers in 2's complement format. In this system, two integers A and B are represented as A=01010 and B=11010. Which one of the following operations will result in either an arithmetic overflow or an arithmetic underflow?",A + B,A - B,B - A,2 * B,B,,,Medium,2024,1,PYQ;GATE 2024;GATE CS1,,,,
274,Computer Science,Probability and Statistics,mcq,"Consider a permutation sampled uniformly at random from the set of all permutations of {1,2,3,...,n} for some n >= 4. Let X be the event that 1 occurs before 2 in the permutation, and Y the event that 3 occurs before 4. Which one of the following statements is TRUE?",The events X and Y are mutually exclusive,The events X and Y are independent,Either event X or Y must occur,Event X is more likely than event Y,B,,,Medium,2024,1,PYQ;GATE 2024;GATE CS1,,,,
275,Computer Science,Computer Organization and Architecture,mcq,Which one of the following statements is FALSE?,"In the cycle stealing mode of DMA, one word of data is transferred between an I/O device and main memory in a stolen cycle","For bulk data transfer, the burst mode of DMA has a higher throughput than the cycle stealing mode",Programmed I/O mechanism has a better CPU utilization than the interrupt driven I/O mechanism,The CPU can start executing an interrupt service routine faster with vectored interrupts than with non-vectored interrupts,C,,,Medium,2024,1,PYQ;GATE 2024;GATE CS1,,,,
276,Computer Science,Computer Networks,mcq,"A user starts browsing a webpage hosted at a remote server. The browser opens a single TCP connection to fetch the entire webpage from the server. The webpage consists of a top-level index page with multiple embedded image objects. Assume that all caches (e.g., DNS cache, browser cache) are all initially empty. The following packets leave the user's computer in some order: (i) HTTP GET request for the index page (ii) DNS request to resolve the web server's name to its IP address (iii) HTTP GET request for an image object (iv) TCP SYN to open a connection to the web server. Which one of the following is the CORRECT chronological order (earliest in time to latest) of the packets leaving the computer?","(iv), (ii), (iii), (i)","(ii), (iv), (iii), (i)","(ii), (iv), (i), (iii)","(iv), (ii), (i), (iii)",C,,,Medium,2024,1,PYQ;GATE 2024;GATE CS1,,,,
277,Computer Science,Algorithms,mcq,"Given an integer array of size N, we want to check if the array is sorted (in either ascending or descending order). An algorithm solves this problem by making a single pass through the array and comparing each element of the array only with its adjacent elements. The worst-case time complexity of this algorithm is",both O(N) and Omega(N),O(N) but not Omega(N),Omega(N) but not O(N),neither O(N) nor Omega(N),A,,,Medium,2024,1,PYQ;GATE 2024;GATE CS1,,,,
278,Computer Science,Programming and Data Structures,mcq,"Consider the following C program: #include <stdio.h> int main(){ int a = 6; int b = 0; while(a < 10) { a = a / 12 + 1; a += b; } printf(""%d"", a); return 0; } Which one of the following statements is CORRECT?",The program prints 9 as output,The program prints 10 as output,The program gets stuck in an infinite loop,The program prints 6 as output,C,,,Medium,2024,1,PYQ;GATE 2024;GATE CS1,,,,
279,Computer Science,Programming and Data Structures,mcq,Consider the following C program: #include <stdio.h> void fX(); int main(){ fX(); return 0; } void fX(){ char a; if((a=getchar()) != '\n') fX(); if(a != '\n') putchar(a); } Assume that the input to the program from the command line is 1234 followed by a newline character. Which one of the following statements is CORRECT?,The program will not terminate,The program will terminate with no output,The program will terminate with 4321 as output,The program will terminate with 1234 as output,C,,,Hard,2024,1,PYQ;GATE 2024;GATE CS1,,,,
280,Computer Science,Databases,mcq,"Let S be the specification: ""Instructors teach courses. Students register for courses. Courses are allocated classrooms. Instructors guide students."" Four candidate ER diagrams (i)-(iv) are given, each with entities Instructor, Course, Classroom, Student (or, in one distractor diagram, ""Projects"" instead of Student) and relationship diamonds Teaches (Instructor-Course), Allocation (Course-Classroom), Registration/Projects (Course-Student or Course-Projects), and Guides (Instructor-Student). Which one of the following ER diagrams CORRECTLY represents S?",(i),(ii),(iii),(iv),D,,,Medium,2024,1,PYQ;GATE 2024;GATE CS1,,,yes,figure_dependent_er_diagrams_approximated
281,Computer Science,Databases,mcq,"In a B+ tree, the requirement of at least half-full (50%) node occupancy is relaxed for which one of the following cases?",Only the root node,All leaf nodes,All internal nodes,Only the leftmost leaf node,A,,,Medium,2024,1,PYQ;GATE 2024;GATE CS1,,,,
282,Computer Science,Databases,msq,Which of the following statements about a relation R in first normal form (1NF) is/are TRUE?,R can have a multi-attribute key,R cannot have a foreign key,R cannot have a composite attribute,R cannot have more than one candidate key,"A,C",,,Medium,2024,1,PYQ;GATE 2024;GATE CS1,,,,
283,Computer Science,Theory of Computation,msq,"Let L1, L2 be two regular languages and L3 a language which is not regular. Which of the following statements is/are always TRUE?",L1 = L2 if and only if L1 intersect complement(L2) = empty set,L1 union L3 is not regular,complement(L3) is not regular,complement(L1) union complement(L2) is regular,"C,D",,,Hard,2024,1,PYQ;GATE 2024;GATE CS1,,,,
284,Computer Science,Operating System,msq,Which of the following statements about threads is/are TRUE?,Threads can only be implemented in kernel space,Each thread has its own file descriptor table for open files,All the threads belonging to a process share a common stack,Threads belonging to a process are by default not protected from each other,D,,,Medium,2024,1,PYQ;GATE 2024;GATE CS1,,,,
285,Computer Science,Operating System,msq,Which of the following process state transitions is/are NOT possible?,Running to Ready,Waiting to Running,Ready to Waiting,Running to Terminated,"B,C",,,Medium,2024,1,PYQ;GATE 2024;GATE CS1,,,,
286,Computer Science,Compiler Design,msq,Which of the following is/are Bottom-Up Parser(s)?,Shift-reduce Parser,Predictive Parser,LL(1) Parser,LR Parser,"A,D",,,Easy,2024,1,PYQ;GATE 2024;GATE CS1,,,,
287,Computer Science,Engineering Mathematics,msq,"Let A and B be two events in a probability space with P(A) = 0.3, P(B) = 0.5, and P(A intersect B) = 0.1. Which of the following statements is/are TRUE?",The two events A and B are independent,P(A union B) = 0.7,"P(A intersect B^c) = 0.2, where B^c is the complement of the event B","P(A^c intersect B^c) = 0.4, where A^c and B^c are the complements of the events A and B, respectively","B,C",,,Medium,2024,1,PYQ;GATE 2024;GATE CS1,,,,
288,Computer Science,Digital Logic,msq,"Consider a circuit with input X, where X feeds directly into one input of an AND gate and also into a NOT gate whose output feeds the other input of the AND gate, producing output Y. The gates may have propagation delays. Assume that all signal transitions occur instantaneously and that wires have no delays. Which of the following statements about the circuit is/are CORRECT?","With no propagation delays, the output Y is always logic Zero","With no propagation delays, the output Y is always logic One","With propagation delays, the output Y can have a transient logic One after X transitions from logic Zero to logic One","With propagation delays, the output Y can have a transient logic Zero after X transitions from logic One to logic Zero","A,C",,,Medium,2024,1,PYQ;GATE 2024;GATE CS1,,,,
289,Computer Science,Computer Networks,msq,TCP client P successfully establishes a connection to TCP server Q. Let Np denote the sequence number in the SYN sent from P to Q. Let Nq denote the acknowledgement number in the SYN ACK from Q to P. Which of the following statements is/are CORRECT?,The sequence number Np is chosen randomly by P,The sequence number Np is always 0 for a new connection,The acknowledgement number Nq is equal to Np,The acknowledgement number Nq is equal to Np + 1,"A,D",,,Medium,2024,1,PYQ;GATE 2024;GATE CS1,,,,
290,Computer Science,Computer Organization and Architecture,msq,"Consider a 5-stage pipelined processor with Instruction Fetch (IF), Instruction Decode (ID), Execute (EX), Memory Access (MEM), and Register Writeback (WB) stages. Which of the following statements about forwarding is/are CORRECT?","In a pipelined execution, forwarding means the result from a source stage of an earlier instruction is passed on to the destination stage of a later instruction","In forwarding, data from the output of the MEM stage can be passed on to the input of the EX stage of the next instruction",Forwarding cannot prevent all pipeline stalls,Forwarding does not require any extra hardware to retrieve the data from the pipeline stages,"A,B,C",,,Hard,2024,1,PYQ;GATE 2024;GATE CS1,,,,
291,Computer Science,Computer Networks,msq,Which of the following fields is/are modified in the IP header of a packet going out of a network address translation (NAT) device from an internal network to an external network?,Source IP,Destination IP,Header Checksum,Total Length,"A,C",,,Medium,2024,1,PYQ;GATE 2024;GATE CS1,,,,
292,Computer Science,Engineering Mathematics,nat,Let A and B be non-empty finite sets such that there exist one-to-one and onto functions (i) from A to B and (ii) from A x A to A union B. The number of possible values of |A| is _____,,,,,,2,0.0,Hard,2024,1,PYQ;GATE 2024;GATE CS1,,,,
293,Computer Science,Programming and Data Structures,nat,"Consider the operator precedence and associativity rules for the integer arithmetic operators given in the table below: + (Highest, Left), - (High, Right), * (Medium, Right), / (Low, Right). The value of the expression 3 + 1 + 5 * 2 / 7 + 2 - 4 - 7 - 6 / 2 as per the above rules is _____",,,,,,6,0.0,Hard,2024,1,PYQ;GATE 2024;GATE CS1,,,,
